D_affect,P,N,Qualite,Horaire,Type,R,Jour,Arrêt,Placement,Jr_pl
,N,2067N,,Nuit,,303N,3,,,
25-Jun-15,1N,890N,,Nuit,,,1,18-Aug-15,,
28-Jul-14,1000N,2267N,,Nuit,,58N,4,08-Aug-14,,
30-Nov-15,1001N,6110,,Nuit,,6124,3,10-May-16,,
28-Jul-14,1002N,2270N,,Nuit,,,7,16-Nov-15,,
28-Jul-14,1002N,N,,Nuit,,N,,18-May-16,,
28-Jul-14,1003N,2271N,,Nuit,,2272N,1,20-Sep-14,,
28-Jul-14,1004N,5778,,Nuit,,1285N,4,30-Sep-15,,
14-Mar-15,1005N,5368,,Nuit,,,1,14-Jul-15,,
28-Jul-14,1007N,2275N,,Nuit,,106N,1,17-Aug-14,,
28-Jul-14,1009N,2276N,,Nuit,,N,,03-Aug-14,,
28-Jul-14,1011N,2182N,,Nuit,,N,,16-Aug-14,,
28-Jul-14,1012N,5624,,Nuit,,5130,3,30-Jun-15,,
28-Jul-14,123N,649N,,Nuit,,2260N,2,26-Aug-14,,
28-Jul-14,77N,2268N,,Nuit,,2206N,6,31-Aug-15,,
28-Jul-14,844N,2266N,,Nuit,,N,,02-Aug-14,,
28-Jul-14,879J,1849J,,Jour,,J,,31-Jul-14,,
29-Jul-14,370J,1853J,,Jour,,J,7,08-Feb-16,,
29-Jul-14,370J,1854J,,Jour,,J,7,29-Nov-14,,
29-Jul-14,880J,1850J,,Jour,,J,,13-Aug-14,,
29-Jul-14,883J,1851J,,Jour,,J,,11-Sep-14,,
16-Jul-15,884J,398J,,Jour,,5130,5,24-May-16,,
29-Jul-14,885J,1855J,,Jour,,1044J,5,16-Jun-15,,
31-Jul-14,1015N,2270N,,Nuit,,N,,06-Aug-14,,
31-Jul-14,225N,2281N,,Nuit,,N,,04-Aug-14,,
01-Aug-14,1016N,1077N,,Nuit,,N,,02-Aug-14,,
01-Aug-14,1016N,706N,,Nuit,,1538N,1,15-Oct-14,,
01-Aug-14,1017N,1036N,,Nuit,,N,,02-Aug-14,,
01-Aug-14,1017N,1262N,,Nuit,,311N,3,10-Feb-15,,
01-Aug-14,1017N,705N,,Nuit,,N,,02-Aug-14,,
01-Aug-14,1018N,2190N,,Nuit,,206N,5,29-Dec-14,,
01-Aug-14,1022N,2338N,,Nuit,,4546,2,20-Mar-16,,
20-Dec-15,1022N,6495,,Nuit,,4546,4,26-Apr-16,,
01-Aug-14,133N,6225,,Nuit,,5440,3,09-Feb-16,,
01-Aug-14,227N,2291N,,Nuit,,1838N,2,20-Aug-14,,
12-Sep-15,341N,2282N,,Nuit,,5906,1,25-Jan-16,,
01-Aug-14,353J,1029J,,Jour,,J,,16-Oct-14,,
01-Aug-14,434N,786N,,Nuit,,1559N,2,04-Aug-14,,
01-Aug-14,469N,2292N,,Nuit,,N,,15-Jan-15,,
01-Aug-14,469N,2293N,,Nuit,,N,,03-Feb-16,,
31-Jul-15,506J,1877J,,Jour,,1001J,7,11-Jul-16,,
01-Aug-14,544J,1876J,,Jour,,149J,4,15-Aug-14,,
01-Aug-14,602N,893N,,Nuit,,2248N,2,04-Oct-14,,
01-Aug-14,694J,1858J,,Jour,,120J,7,03-Jun-15,,
01-Aug-14,849N,2280N,,Nuit,,2319N,2,22-Oct-14,,
01-Aug-14,879J,1122J,,Jour,,5945,6,21-Jul-15,,
01-Aug-14,887J,547J,,Jour,,J,,01-Aug-14,,
31-Jul-15,887N,2306N,,Nuit,,216J,4,10-Mar-16,,
01-Aug-14,887N,458N,,Nuit,,N,7,17-Nov-14,,
01-Aug-14,888J,1849J,,Jour,,1683J,6,18-Nov-14,,
01-Aug-14,893J,1906J,,Jour,,J,,25-Aug-14,,
01-Aug-14,893J,962J,,Jour,,188J,2,11-Dec-14,,
01-Aug-14,894J,1907J,,Jour,,1957J,7,05-Nov-14,,
01-Aug-14,894J,6330,,Jour,,,7,31-Jan-16,,
01-Aug-14,895J,1909J,,Jour,,188J,4,30-Aug-14,,
01-Aug-14,896J,2038J,,Jour,,1957J,3,12-Oct-14,,
23-Sep-15,896J,6231,,Jour,,784N,4,28-Jan-16,,
17-May-15,897J,5724,,Jour,,4519,3,10-Nov-15,,
01-Aug-14,897J,1990J,,Jour,,4519,1,27-Dec-14,,
01-Aug-14,898J,1914J,,Jour,,4503,4,29-Sep-14,,
01-Aug-14,898J,1915J,,Jour,,4503,5,04-Apr-16,,
01-Aug-14,899J,1916J,,Jour,,J,,10-Oct-14,,
01-Aug-14,899J,5604,,Jour,,J,7,12-Jun-16,,
01-Aug-14,900J,1295J,,Jour,,,7,02-Feb-16,,
01-Aug-14,900J,1920J,,Jour,,J,,18-Aug-14,,
01-Aug-14,901J,1922J,,Jour,,2017J,5,03-Feb-16,,
01-Aug-14,902J,739J,,Jour,,J,,09-Aug-14,,
01-Aug-14,903J,1923J,,Jour,,720J,1,16-Oct-14,,
20-Jan-16,905J,6690,,Jour,,J,7,09-Mar-16,,
01-Aug-14,913J,1948J,,Jour,,J,7,08-Sep-14,,
01-Aug-14,916J,930J,,Jour,,188J,5,31-Aug-14,,
02-Aug-14,1016N,1036N,,Nuit,,1538N,2,15-Oct-14,,
02-Aug-14,1017N,1077N,,Nuit,,2230N,5,02-Mar-15,,
02-Aug-14,14N,2296N,,Nuit,,1659N,2,09-Aug-14,,
02-Aug-14,280N,2307N,,Nuit,,1803N,2,20-Aug-14,,
02-Aug-14,319N,2300N,,Nuit,,1522N,2,10-Oct-14,,
02-Aug-14,375J,1881J,,Jour,,1536J,5,07-Aug-14,,
02-Aug-14,431N,2290N,,Nuit,,207N,4,03-Aug-14,,
